Node,Rank
Arthrocardia sp. ASD027,species
Arthrocardia sp. 2 NZ Twist-2018,species
Arthrocardia sp. ARS-2011,species
Arthrocardia sp. 1 NZ Twist-2018,species
Arthrocardia sp. 3 NZ Twist-2018,species
Arthrocardia sp. SYK-2014,species
Arthrocardia sp. 1 KK-2015,species
Arthrocardia sp. 2 KK-2015,species
Arthrocardia sp. A_Twist-2019,species
Arthrocardia sp. B_Twist-2019,species
Arthrocardia sp. C_Twist-2019,species
Marginisporum,genus
Alatocladia,genus
Alatocladia yessoensis,species
Alatocladia modesta,species
Chiharaea,genus
Chiharaea bodegensis,species
Chiharaea americana,species
Chiharaea silvae,species
Chiharaea rhododactyla,species
unclassified Corallinoideae,no rank
Corallinoideae sp. 288-464,species
Johansenia,genus
Johansenia macmillanii,species
Crusticorallina,genus
Crusticorallina painei,species
Crusticorallina adhaerens,species
Crusticorallina muricata,species
Crusticorallina nootkana,species
Ellisolandia,genus
Ellisolandia elongata,species
unclassified Ellisolandia,no rank
Ellisolandia sp.,species
Pachyarthron,genus
Pachyarthron cretaceum,species
Lithophylloideae,subfamily
unclassified Lithophylloideae,no rank
Lithophylloideae sp. 1,species
Lithophylloideae sp. 2,species
Lithophylloideae sp. 3,species
Lithophylloideae sp. 4,species
Lithophylloideae sp. 6,species
Lithophylloideae sp. 7,species
Lithophylloideae sp. 8,species
Lithophylloideae sp. 9,species
Metamastophora,genus
Metamastophora flabellata,species
unclassified Metamastophora,no rank
Metamastophora sp. ARS-2011,species
Mastophoroideae,subfamily
Mastophora,genus
Mastophora rosea,species
Mastophora pacifica,species
unclassified Mastophora (in: red algae),no rank
Mastophora sp. ARS-2011,species
Mastophora sp. (in: red algae),species
Mastophora sp. 1,species
Mastophora sp. 2,species
Mastophora sp. 3,species
Mastophora sp. 4,species
Mastophora sp. 5,species
Lithoporella,genus
unclassified Lithoporella,no rank
Lithoporella sp. 1 SYJ-2021,species
Lithoporella sp. 2 SYJ-2021,species
Lithoporella sp.,species
unclassified Mastophoroideae,no rank
